comment,cluster
Recebi bem antes do prazo estipulado.,2
Parabéns lojas lannister adorei comprar pela Internet seguro e prático Parabéns a todos feliz Páscoa,0
aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que é o mesmo aparelho,4
"Mas um pouco ,travando...pelo valor ta Boa.
",4
"Vendedor confiável, produto ok e entrega antes do prazo.",2
"GOSTARIA DE SABER O QUE HOUVE, SEMPRE RECEBI E ESSA COMPRA AGORA ME DECPCIONOU",3
Péssimo,0
Loja nota 10,0
obrigado pela atençao amim dispensada,0
"A compra foi realizada facilmente.
A entrega foi efetuada muito antes do prazo dado.
O produto já começou a ser usado e até o presente,
sem problemas.",3
relógio muito bonito e barato.,0
Não gostei ! Comprei gato por lebre,3
"Sempre compro pela Internet e a entrega ocorre antes do prazo combinado, que acredito ser o prazo máximo. No stark o prazo máximo já se esgotou e ainda não recebi o produto.",2
"Recebi exatamente o que esperava. As demais encomendas de outros vendedores atrasaram, mas esta chegou no prazo.",0
"Recomendo ,",0
muito boa ,0
"Tô completamente apaixonada, loja super responsável e confiável!",0
Nada de chegar o meu pedido.,3
Muito bom. muito cheiroso.,0
"otimo vendedor chegou ate antes do prazo , adorei o produto",2
Processo de compra tranquilo e eficiente.,0
Tomara q dure pois é de pelinho.,4
"recebi somente 1 controle Midea Split ESTILO.
Faltou Controle Remoto para Ar Condicionado Consul",4
boa,0
MT lindo,0
"Ocorreu tudo como contratado sendo a entrega realizada antes do prazo 
 Estou satisfeita
",0
"Amei achei lindo ,muito delicado adorei",0
"Ótima loja para parceria: rápidíssima, produtos bem embalados e de qualidade! Só o custo do frete que foi meio azedo.",0
Recomendo o vendedor... ,0
"O produto não chegou no prazo estipulado e causou transtorno, pq programei a viagem de férias do meu filho, baseado no prazo. Moro na Bahia e ele em Cuiabá sozinho. Agora, a casa está vazia. ",3
"Produto entregue como solicitado, e com muita brevidade. Parabéns!
",0
Eu comprei duas unidades e só recebi uma e agora o que faço?,3
"Produto bom, porém o que veio para mim não condiz com a foto do anúncio.",4
"Produto muito inferior, mal acabado.",4
O kit mochila patrulha canina é lindo!! Meu netinho vai amar!! Obrigada!!,4
Maravilha ,0
Entrega no prazo,2
Cumpriu o prometido na compra e com o uma entrega em tempo satisfatório ,0
Pedi reembolso e sem resposta até momento ,1
Super rápido.,0
"Satisfeito
",0
"estao de parabens... sempre chega com muiiita antecedencia..

Muito obrigada.... ",0
OK RECOMENDO,0
"Produto chegou, mas meu PC não conseguiu reconhecer as portas USB.",3
"Produto de muito boa qualidade, chegou antes do prazo prometido",2
"Este foi o pedido
Balde Com 128 Peças - Blocos De Montar 2 un - R$ 25,00 cada (NÃO FOI ENTREGUE)
Vendido e entregue targaryen
Tapete de Eva Nº Letras 36 Peças Crianças 1 un - R$ 35,90 (ESTE FOI ENTREG",4
"Entrega muito rápida
Parabéns",0
comprei tres pacotes de cinco folhas cada de papel transfer para tecido escuro e so recebi dois,4
"Estava faltando apenas um produto, eu recebi hoje , muito obrigada!
Tudo certo!

Att 

Elenice.",3
"A bolsa térmica além de linda é super espaçosa . Produto de acordo com o anunciado e a entrega super rápida , entregou bem antes do prazo .",0
Demorou de mais pra entrega ,0
super rapido a entrega .... chegou antes da data... ,2
A entrega foi dividida em duas. Não houve comunicado do loja. Cheguei a pensar que só haviam enviado parte do produto. ,3
Não funciona não faz sincronismo,3
Recomendo a todos os clientes,0
Gostei ,0
OTIMA,0
"Gostei muito do jogo de banho.A estampa florida, o bordado, tudo muito bonito. Ótimo produto.",0
"Chegou apenas uma peça, mas na nota e na garantia constam as duas joias.",3
EU NÃO RECEBI O PRODUTO E CONSTA NO SISTEMA QUE EU RECEBI ALÉM DE PAGAR CARO DO FRETE ,4
"Comprei o relógio, unissex e enviaram um relógio feminino, bem menor que as especificações do anúncio.",4
Sempre compro na lannister.Pra mim é a melhor loja on-line,4
Produto de qualidade excelente,0
Ótimo custo-benefício,0
OK,0
Gostei da atenção com a entrega,0
" Se fosse vidro tinha quebrado; veio na caixa sem nenhuma proteção por dentro, a caixa estava muito amassada. Desculpe.. mas gosto de comprar de vcs
.",4
A peça não serviu,4
Comprei o produto dia 25 de fevereiro e hoje dia 29 de marco não fora entregue na minha residência. Não sei se os correios desse Brasil e péssimo ou foi a própria loja que demorou postar.,3
"fiz minha compra faz 30 dias e não recebi ainda meu produto.
Precisa melhorar nas entregas",3
"Espero receber esta semana, o que não seria tão extravagante, porém...mais atrazo do que isso me faria desistir do baratheon.",3
"Entregou no prazo certo, fiquei feliz com a compra que fiz",3
Lindo relógio adorei,0
"Comprei dois lustres pendentes, com a parceira targaryen e só me enviaram um lustre. Abri reclamação, mas ainda não recebi resposta. Aguardo solução por parte de Lojas lannister.",1
Muito bom alta qualidade!,0
"Produto bonito, entregue bem valado e dentro do prazo. Recomendo!",0
Muito bom,0
Faltou 1 produto e os que recebi 1 veio quebrado,4
"chegou dentro do prazo e o produto é de excelente qualidade! Acabou as dores nas costas, estou dormindo muito bem!",2
aqui está descrevendo como entregue só que ate agora não recebi,1
"Acho que rastreando o produto devia ser melhor e mais preciso, mas no geral foi uma ótima experiência ",4
Ainda não tive a oportunidade de testar,3
Comecei a usar agora ,3
nada a declarar,3
"Comprar um produto correto na capa mas interno ser outro.???????
",4
entrega super rapida,0
"Fiz um pedido de 4 garrafas de azeite.Chegaram 2 num dia e as outras 2 quase 48 horas depois.Contato com a loja muito dificil,tanto via e-mail qto por telef.O suspense terminou mas lá não compro mais",1
O produto chegou muito rapido e de boa qualidade recomendo o produto,0
"Não posso! Estou aguardando a chegada do produto que comprei!Logo que isso aconteça, terei minha opinião formada!",3
Comprei dois produtos e recebi somente um. Mandei dois emails para a loja e não tive nenhum retorno. Estou insatisfeita.,1
Não recomendaria esta loja nem pretendo voltar a comprar nela.A mercadoria foi entregue após o prazo e quase 1 mês após a compra. No site das lannister costumam chegar antes do prazo. Estranhei muito,3
Recomendo,0
Atendeu minha expectativa.,0
Entrega antes do prazo. Produto muito prático e de fácil manuseio. ,2
decepcionado,4
"otimo produto só nao veio manual, mas sem problemas.",4
"Uma das peças não encaixava, estava de diâmetro diferente. Eu tive que serrar e martelar para poder caber e encaixar.
De resto, tudo ok.",4
Excelente produto.,0
Tudo certo,0
"Demora na entrega, detestei o atendimento e NUNCA mais compro. baratheon quando vendia por eles mesmos era bem melhor! ",4
Produto muito bom,0
o meu produto não chegou... segundo o rastreio está parado em Ribeirão Preto sp... ,3
produto deu defeito na 1 vez de uso.,4
super recomendo produto profissional de qualidade,0
até agora não recebi o produto.,1
 A loja anuncia um produto e entrega outro.,0
muito bom e rapido quando vi ja tinha chegado,0
O produto chegou muito bem,2
otimo,0
"Apesar de ter sido entregue rapidamente, substituíram a caixa METEORO pela caixa BORNE. Quando tentei reclamar nas lannister o sistema estaav fora do ar. A guitarra e acessórios estavam corretos.",3
Muito satisfeito,0
parabéns para loja e revendedor apesar de ter demorado um pouco,4
"Entregue dentro do prazo, e com bom período de validade.",2
"O Jogo de toalhas é lindo mais bonito do que na foto, amei.",4
produto foi entregue com umas das alças com problemas (está faltando 1 pino de fixação),3
Foi marcado o dia 14/02 para entrega do pedido e no rastreamento marcava que o produto já havia sido entregue na data mas na realidade não foi entregue. O produto só foi entregue no dia 28/02.,3
"LOJA ALÉM DO FRETE SER MUITO CARO . O PRODUTO LEVA QUASE 30 DIAS ÚTEIS , PARA CHEGAR NA SUA CASA",4
"Recebi bem rápido, porém veio outro produto, e não o que eu pedi, o modelo veio diferente, a cor, veio uma capinha que não tem zíper, enfim, não recomendo. ",4
sempre comprei no stark e estou satisfeito.,3
fiz a compra por tabela e graças A Deus deu tudo certo fico muito grato pode confiar.,4
"Cancelaram a minha compra um dia antes da entrega, liguei para a lannister e os atendentes não sabiam o que estava acontecendo, uma bagunça, agora estou esperando para ver se vai ser cobrado",1
produto de qualidade e eficiência na entrega. recebi muito antes do combinado. recomendo,2
Produto bom veio no dentro do prazo chegou em 08 dias estão de parabéns. ,2
Enviei 2 solicitações pelo site para trocar o endereço. Recebi a mensagem de que iam me ligar em 48h mas não ligaram.,1
"Tudo ok,o baratheon sempre responsável com a suas entregas.",0
o acabento que estava na foto era bonito a que chegou foi de um sintetico feio com um acabento todo borrado orrivel nao gostei,0
E muito desordenado comprei três produtos mais não veio no dia sertões veio separado e em data separada ,3
A,0
entrega rapida,0
foi bom,0
Mercadoria certa entregue no prazo combinado. Grata,2
", muito ruim ! ",0
Passou dos dias previstos.,3
Ao fazer a compra do kit entendi que receberia 2 frascos de 60 cápsulas (cada) e não 2 frascos com 60 cápsulas no total. Só não vou devolver porque estou precisando do produto.,3
Entrega bem antes do prazo perfeito!!,2
Cada vez que compro mais fico satisfeita parabéns pela honestidade com seus clientes 👏👏👏👏?,4
bem rapido a entrega e bom comprar com vcs,0
Produto não recomendo não ler em nenhum dispositivo,3
"Entrega super rápida, parabéns!",0
Tudo rápido e eficiente.,0
Creme maravilhoso e entrega super rápida,0
"Tentando cancelar o produto desde antes da emissão da nota fiscal. Não fui avisada que estava no correio, não tive nenhuma resposta do cancelamento e nao consigo devolver. ",1
"Chegou hoje 
sem comentários",3
"Boa Noite

é lamentável, esta loja que tantas compras eu ja fiz e hoje não me da satisfação sequer de um relógio na importância de 50,00 reais ... um produto com defeito e até agora não me deu retor",1
Muito bom! Aquilo que esperava!,0
A capa protetora não é exatamente o que eu esperava deixa a desejar no tipo material e na qualidade.,4
No site o produto parece ter melhor qualidade de material e acabamento.,4
"Recebi meu produto corretamente e dentro do prazo,verificando na caixa esta tudo correto,mas ainda não montei.Produto lindo,cor perfeita,amamos.
SUPER RECOMENDO.",0
"A embalagem deixou a desejar, por pouco o produto não foi danificado, a caixa estava toda amassada.",4
Parabéns .Produto entregue bem antes do prazo.Atendeu às minhas necessidades.,2
Recomendo.,0
Faltaram os cabos e o manual,4
ótimo chegou bem antes do prazo .,2
Entregue no prazo produto muito bom.,2
"O produto foi embalado apenas com papel pardo sobre a embalagem e enviado pelos correios. Lógico, a embalagem chegou amassada e só deus sabe se o produto está funcionando ou não, ainda não testei.",3
Acho q deveriam mandar por sedex ao invés de pac,4
"Última vez que compro pois hoje vai fazer 1 mês que fiz a comprar e nada, e se demorar mas tempo de entregar estarei procurando meus direitos contra as lojas lannister e a targaryen.",1
Lindo... Só faltou instruções da troca de pulseiras.,4
"Produto exatamente conforme descrito.
Chegou bem antes do prazo!",2
"O produto chegou bem antes do prazo estipulado, amei o atendimento! Super recomendo ",2
"Não gostei do produto, material de péssima qualidade.",4
"Dos dois produtos comprados, foi entregue apenas um!",3
Nao compro mais na lannister. Se é parceiro da lannister ou não essa targaryen jamais uso novamente. Quando eu ler que é dessa empresa saio correndo. Um absurdo. Quase um mês para entregar. Extra.com ok,1
Recebi corretamente o produto,0
"recebi o produto dentro do prazo informado, ainda não utilizei.",3
"O pedido chegou antes do combinado, muito bom.",2
produto entregue conforme anunciado.,0
recebe apenas 01 peça do produto! estou precisando da 2 peças restante! ,4
LOJA 10,0
"O violão que comprei é lindo, porém a cor do adesivo não confere com a foto do ato da compra, mas aprovei.",4
Nem fizeram a nota fiscal ,3
"Chegou antes do prazo!
Produto excelente!",2
trabalho com profissionalismo das lojas lannister. indico com certeza,0
"O MP3 player não funciona, mesmo trocando a pilha diversas vezes. Tive que devolver.",3
super recomendo o produto que é muito bom!,0
"Pré treino muito bom, um dos melhores do mercado, se não for o melhor. ",0
" A loja postou o produto de e mediato o correio demorou um pouco
",4
"Sempre compro no stark e sempre sou bem atendido, site eficiente e produtos de ótima qualidade, recomendo a todos podem comprar de olhos fechados! ",0
Muito bom desde da compra a entrega td direitinho e rapido,0
Tudo ok!,0
A targaryen não é de confiança não entregou a minha compra e colocou no rastreamento do pedido que foi entregue no dia 14/12/17 empresa falsa quero receber meus produtos que foram pagos com boleto bancari,1
Entrega e qualidade do produto de acordo com o esperado.,0
Excelente recomendo,0
"A bolsa e muito bonita por fora
Mas dentro não tem forro 
E é bem fragil 
",0
"Quando instalei o cartucho de tinta, a minha impressora indicou que o mesmo estava vazio, e apresentou a mensagem de erro ""!"" em cima do marcador de nível da tinta. Já solicitei a troca. ",4
"muito bom, recomendo o produto.",0
quanto ao site não tenho o que questionar! sempre cumprem super o combinado ... recomendo sempre! mas o produto é fraco.. ,0
bom em todos os aspectos,0
Até hoje estou satisfeito com a sbmarino,3
Não foram entregue as duas capas de couro compradas. Apenas uma delas. Aguardo a devolução do dinheiro ou a entrega da segunda capa.,3
Gostei!,0
"Fiquei feliz com. O tecido ,mas acho que faltou o lençol de cima para ficar completo , espero que logo lancem.",4
Chegou antes do prazo é a cabeceira é linda.,2
"Houve alguma confusão entre vendedor e o stark, pois recebi um email do stark pedindo o cancelamento do produto por algum imprevisto na entrega; neguei e recebi o produto dias depois.",1
10,0
Gostei do produto chegou no tempo certo os vendedores estão de parabéns,0
Atendimento excelente,0
Gostei ,0
No dia 19 de maio usei e a à alça quebrou sem muito peso ,4
Toalha do maior campeão do Brasil maravilhosa ,4
"A entrega foi realizado muito antes do previsto. 
Bom produto...estou satisfeita",2
Até agora tudo bem estou esperando a entrega do produto,2
"A compra ocorreu como o esperado, desde de o pedido até o recebimento do produto. Tudo bem certinho. ",0
"O produto foi entregue antes do prazo.
",2
"Gostei muito do produto era exatamente boque eu esperava, entrega dentro do prazo, parabéns recomendo a loja",2
comprei o produto na cor preta e chegou na cor vermelha.,4
"já é a segunda vez que compro nesta loja,super eficiente entrega rápida e antes do prazo contratado, produto bem embalado , Nota 10
Muito Obrigado",2
"otimo
",0
Pensei que a mochila fosse um material mais resistente.,4
"Comprei um produto e veio outro.
Mandei msg informando o erro , porém não obtive resposta.
Obrigado ",1
o produto demora muita para chegar !,0
"So recebemos um relogio pelo correio

att
",3
"entrega rápida, produto conforme esperado",0
Tudo como anunciado....Ótimo produto...,0
