comment,cluster
Recebi bem antes do prazo estipulado.,3
Parabéns lojas lannister adorei comprar pela Internet seguro e prático Parabéns a todos feliz Páscoa,1
aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que é o mesmo aparelho,0
"Mas um pouco ,travando...pelo valor ta Boa.
",2
"Vendedor confiável, produto ok e entrega antes do prazo.",3
"GOSTARIA DE SABER O QUE HOUVE, SEMPRE RECEBI E ESSA COMPRA AGORA ME DECPCIONOU",0
Péssimo,1
Loja nota 10,1
obrigado pela atençao amim dispensada,1
"A compra foi realizada facilmente.
A entrega foi efetuada muito antes do prazo dado.
O produto já começou a ser usado e até o presente,
sem problemas.",0
relógio muito bonito e barato.,1
Não gostei ! Comprei gato por lebre,0
"Sempre compro pela Internet e a entrega ocorre antes do prazo combinado, que acredito ser o prazo máximo. No stark o prazo máximo já se esgotou e ainda não recebi o produto.",3
"Recebi exatamente o que esperava. As demais encomendas de outros vendedores atrasaram, mas esta chegou no prazo.",1
"Recomendo ,",1
muito boa ,1
"Tô completamente apaixonada, loja super responsável e confiável!",1
Nada de chegar o meu pedido.,0
Muito bom. muito cheiroso.,1
"otimo vendedor chegou ate antes do prazo , adorei o produto",3
Processo de compra tranquilo e eficiente.,1
Tomara q dure pois é de pelinho.,2
"recebi somente 1 controle Midea Split ESTILO.
Faltou Controle Remoto para Ar Condicionado Consul",2
boa,1
MT lindo,1
"Ocorreu tudo como contratado sendo a entrega realizada antes do prazo 
 Estou satisfeita
",3
"Amei achei lindo ,muito delicado adorei",1
"Ótima loja para parceria: rápidíssima, produtos bem embalados e de qualidade! Só o custo do frete que foi meio azedo.",1
Recomendo o vendedor... ,1
"O produto não chegou no prazo estipulado e causou transtorno, pq programei a viagem de férias do meu filho, baseado no prazo. Moro na Bahia e ele em Cuiabá sozinho. Agora, a casa está vazia. ",0
"Produto entregue como solicitado, e com muita brevidade. Parabéns!
",1
Eu comprei duas unidades e só recebi uma e agora o que faço?,0
"Produto bom, porém o que veio para mim não condiz com a foto do anúncio.",2
"Produto muito inferior, mal acabado.",2
O kit mochila patrulha canina é lindo!! Meu netinho vai amar!! Obrigada!!,2
Maravilha ,1
Entrega no prazo,3
Cumpriu o prometido na compra e com o uma entrega em tempo satisfatório ,1
Pedi reembolso e sem resposta até momento ,4
Super rápido.,1
"Satisfeito
",1
"estao de parabens... sempre chega com muiiita antecedencia..

Muito obrigada.... ",1
OK RECOMENDO,1
